src,name,percent
3101,N 12 St & Bedford Ave,0.03651909031119111
3312,1 Ave & E 94 St,0.03646011639849367
3126,44 Dr & Jackson Ave,0.0364353967594516
3533,St. Nicholas Ave & W 126 St,0.03640500568828214
3522,37 St & 24 Ave,0.036308623298033284
3391,E 106 St & 1 Ave,0.0323817076394396
427,Bus Slip & State St,0.03224915678810233
427,State St,0.03224915678810233
120,Lexington Ave & Classon Ave,0.032220537949025276
3611,Vernon Blvd & 47 Rd,0.0322061191626409
412,Forsyth St & Canal St,0.024485100788781772
416,Cumberland St & Lafayette Ave,0.024410607958165798
3392,Commerce St & Van Brunt St,0.024409143742735374
3399,7 St & 3 Ave,0.024236387782204515
3319,14 St & 5 Ave,0.021868113239532125
3576,Park Pl & Vanderbilt Ave,0.021808088818398096
344,Monroe St & Bedford Ave,0.021745085953016916
3088,Union Ave & Jackson St,0.021743338279889026
3135,E 75 St & 3 Ave,0.021709633649932156
3170,W 84 St & Columbus Ave,0.02068689223148924
3388,President St & Henry St,0.02067373281561549
410,Suffolk St & Stanton St,0.020666809499480857
512,W 29 St & 9 Ave,0.020659024231228947
346,Bank St & Hudson St,0.020642437969731288
3621,27 Ave & 9 St,0.04521276595744681
408,Market St & Cherry St,0.04481297340585271
3062,Myrtle Ave & Marcy Ave,0.044555264879005886
457,Broadway & W 58 St,0.04420798595875384
3400,E 110 St & Madison Ave,0.043708162232097655
3219,NYCBS Depot - STY,0.043343653250773995
3104,KentAve&N7 St,0.04320809248554913
3104,Kent Ave & N 7 St,0.04320809248554913
3598,Newton Rd & 44 St,0.04305043050430504
3396,Clinton St & 4 Place,0.027522935779816515
3123,31 St & Thomson Ave,0.027438540840602696
3308,Kane St & Clinton St,0.0273943956503555
530,11 Ave & W 59 St,0.02733081782828064
83,Atlantic Ave & Fort Greene Pl,0.02671908984440355
364,Lafayette Ave & Classon Ave,0.0266976370727231
3489,Gold St & Frankfort St,0.026681367144432193
418,Front St & Gold St,0.02662379048612318
405,Washington St & Gansevoort St,0.0265591840613221
3534,Frederick Douglass Blvd & W 117 St,0.026415094339622643
3338,2 Ave & E 99 St,0.026381284221005476
3390,E 109 St & 3 Ave,0.026374650512581546
3405,5 St & 6 Ave,0.026369722639704878
143,Clinton St & Joralemon St,0.026281732205077152
3147,E 85 St & 3 Ave,0.01719649470171965
376,John St & William St,0.017190227810682576
3359,E 68 St & Madison Ave,0.01716519374575119
3469,India St & West St,0.017135549872122763
3572,34 Ave & 38 St,0.016701461377870562
3304,6 Ave & 9 St,0.01669858291842206
228,E 48 St & 3 Ave,0.016692347200821776
470,W 20 St & 8 Ave,0.01668828871329166
270,Adelphi St & Myrtle Ave,0.01608734637902843
3472,W 15 St & 10 Ave,0.01606700732234104
323,Lawrence St & Willoughby St,0.016020896821941664
3556,24 St & 41 Ave,0.01594746716697936
458,11 Ave & W 27 St,0.015926178065106017
3545,Broadway & W 122 St,0.019364448857994043
415,Pearl St & Hanover Square,0.01932289034866094
252,MacDougal St & Washington Sq,0.01931990013011218
316,Fulton St & William St,0.01931180153675385
400,Pitt St & Stanton St,0.019252610875647527
468,Broadway & W 56 St,0.0149335443724117
468,Broadway & W 55 St,0.0149335443724117
3435,Grand St & Elizabeth St,0.014927153898161282
480,W 53 St & 10 Ave,0.01491808407542217
3246,Montague St & Clinton St,0.014904754980369347
474,5 Ave & E 29 St,0.011548513051472488
3356,Amsterdam Ave & W 66 St,0.01150051779582493
335,Washington Pl & Broadway,0.011469954285984983
503,E 20 St & Park Ave,0.011466020932423295
267,Broadway & W 36 St,0.011385502247558825
402,Broadway & E 22 St,0.010881118956012327
455,1 Ave & E 44 St,0.010813818042733705
164,E 47 St & 2 Ave,0.010811834482521154
3131,E 68 St & 3 Ave,0.010791033716191181
499,Broadway & W 60 St,0.06708952305813064
3374,Central Park North & Adam Clayton Powell Blvd,0.06565106382978723
3331,Riverside Dr & W 104 St,0.06456734585869278
216,Columbia Heights & Cranberry St,0.06348118411175299
3468,NYCBS Depot - STY - Garage 4,0.06220095693779904
3528,Steinway St & 23 Ave,0.03213610586011342
322,Clinton St & Tillary St,0.03202126815332117
407,Henry St & Poplar St,0.03196818836495711
3339,Berkeley Pl & 6 Ave,0.03192239858906525
3157,East End Ave & E 86 St,0.0751122812451603
3604,Rogers Ave & Sterling St,0.075
3041,Kingston Ave & Herkimer St,0.07474352711284807
3300,Prospect Park West & 8 St,0.07321824410559549
3320,Central Park West & W 100 St,0.04283933024581404
341,Stanton St & Mangin St,0.042554531852901804
3053,Marcy Ave & Lafayette Ave,0.0425531914893617
3529,Lenox Ave & W 130 St,0.0422034651266104
3341,Central Park West & W 102 St,0.029553937465581593
3310,14 St & 7 Ave,0.029494949494949494
3551,3 Ave & E 112 St,0.02949438202247191
3055,Greene Ave & Nostrand Ave,0.02948618139353834
3197,Hs Don't Use,0.029411764705882353
3508,St Nicholas Ave & Manhattan Ave,0.026972624798711754
391,Clark St & Henry St,0.02691360386427222
3454,Leonard St & Maujer St,0.026880363452801617
3609,Vernon Blvd & 31 Ave,0.02680965147453083
508,W 46 St & 11 Ave,0.01958520261822461
2010,Grand St & Greene St,0.019533844338701235
3171,Amsterdam Ave & W 82 St,0.019488561853416873
3503,Madison Ave & E 120 St,0.019461077844311378
3289,W 90 St & Amsterdam Ave,0.019446295510995335
313,Washington Ave & Park Ave,0.019399152932914922
3077,Stagg St & Union Ave,0.01939810688059765
430,York St & Jay St,0.019383939021953237
260,Broad St & Bridge St,0.019372437278476613
3501,E 118 St & Madison Ave,0.0173053152039555
361,Allen St & Hester St,0.01727434111702854
448,W 37 St & 10 Ave,0.017267371012926972
3642,E 98 St & Lexington Ave,0.017241379310344827
137,E 56 St & Madison Ave,0.016164415194550284
3458,W 55 St & 6 Ave,0.01615914504603103
3416,7 Ave & Park Pl,0.01614829678467345
489,10 Ave & W 28 St,0.016102797657774885
3366,West End Ave & W 107 St,0.023024554425151073
3144,E 81 St & Park Ave,0.02301148011480115
3150,E 85 St & York Ave,0.022972843755976285
3064,Myrtle Ave & Lewis Ave,0.02296544948419846
195,Liberty St & Broadway,0.02037123815474331
262,Washington Park,0.020348144026706937
377,6 Ave & Canal St,0.020231481481481482
3140,1 Ave & E 78 St,0.020189385083002106
3502,Lexington Ave & E 111 St,0.015164279696714406
3094,Graham Ave & Withers St,0.015009144226524563
3113,Greenpoint Ave & Manhattan Ave,0.014981594041606027
2003,1 Ave & E 18 St,0.014943768294561701
3161,W 76 St & Columbus Ave,0.0197670650578525
301,E 2 St & Avenue B,0.019754564501646213
358,Christopher St & Greenwich St,0.019607441193050787
3108,Nassau Ave & Russell St,0.01958650707290533
3453,Devoe St & Lorimer St,0.018125
3099,Leonard St & Manhattan Ave,0.018098560837331006
3119,Vernon Blvd & 50 Ave,0.01806662186810022
3112,Milton St & Franklin St,0.018057113436184102
3413,Wyckoff St & 3 Ave,0.01798002219755827
265,Stanton St & Chrystie St,0.017929806714140385
128,MacDougal St & Prince St,0.017925499506271404
3346,Berkeley Pl & 7 Ave,0.01791549953314659
3231,E 67 St & Park Ave,0.017900485436893203
236,St Marks Pl & 2 Ave,0.014336763043436607
449,W 52 St & 9 Ave,0.014324090515867596
3364,Carroll St & 5 Ave,0.014299665178571428
3110,Meserole Ave & Manhattan Ave,0.01427417959513236
336,Sullivan St & Washington Sq,0.014265708788268647
305,E 58 St & 3 Ave,0.014264792697879298
428,E 3 St & 1 Ave,0.014223825478455927
3486,Schermerhorn St & Bond St,0.01414027149321267
218,Gallatin Pl & Livingston St,0.014097400219699744
444,Broadway & W 24 St,0.012670076672544777
3224,W 13 St & Hudson St,0.01262423886910614
3544,Underhill Ave & Pacific St,0.012592592592592593
3427,Lafayette St & Jersey St,0.01249160352121805
504,1 Ave & E 15 St,0.012476069434836468
504,1 Ave & E 16 St,0.012476069434836468
526,E 33 St & 5 Ave,0.012197673202310527
3506,Lexington Ave & E 120 St,0.0121580547112462
3402,Court St & State St,0.012143042816294702
3467,W Broadway & Spring Street,0.012120853781115118
3590,Carroll St & Franklin Ave,0.012096774193548387
483,E 12 St & 3 Ave,0.012020204371406624
520,W 52 St & 5 Ave,0.01199271807359947
3373,3 St & 3 Ave,0.01197785000601902
465,Broadway & W 41 St,0.011892478957371708
3446,NYCBS Depot - STY - Valet Scan,1.0
3633,333 Johnson TEST 1,1.0
3000,MLSWKiosk,1.0
3488,8D QC Station 01,1.0
3239,Bressler,1.0
3462,E 44 St & 2 Ave,0.00828690807799443
435,W 21 St & 6 Ave,0.008227307138147451
3516,31 St & Astoria Blvd,0.00819277108433735
318,E 43 St & Vanderbilt Ave,0.008170641881373822
3255,8 Ave & W 31 St,0.00722403372580051
519,E 42 St & Vanderbilt Ave,0.006229734757880189
519,Pershing Square North,0.006229734757880189
519,Pershing Square N,0.006229734757880189
3235,E 41 St & Madison Ave,0.006147440205898264
3318,2 Ave & E 96 St,0.01765783774779277
360,William St & Pine St,0.017627103853747397
3382,Carroll St & Smith St,0.017534713994597412
3401,2 Ave & 9 St,0.017469109501491265
258,DeKalb Ave & Vanderbilt Ave,0.016635047428856714
3372,E 74 St & 1 Ave,0.016620723204151127
393,E 5 St & Avenue C,0.0165527749561363
3238,E 80 St & 2 Ave,0.0165341411081661
295,Pike St & E Broadway,0.01650769246330781
538,E 48 St & Madison Ave,0.015568419105014141
538,W 49 St & 5 Ave,0.015568419105014141
314,Cadman Plaza West & Montague St,0.015560879075096344
314,Montague St & Clinton St,0.015560879075096344
522,E 51 St & Lexington Ave,0.015555304367484283
3298,Warren St & Court St,0.015397028171855039
3398,Smith St & 9 St,0.015334880636604774
3500,E 115 St & Madison Ave,0.015330188679245283
3569,Franklin Ave & St Marks Ave,0.015314804310833806
461,E 20 St & 2 Ave,0.013620393066513326
367,E 53 St & Lexington Ave,0.013597835081519917
385,E 55 St & 2 Ave,0.013528604118993134
494,W 26 St & 8 Ave,0.013515255891914792
3650,8D Mobile 01,0.9848484848484849
3036,8D OPS 01,0.96
3266,Kiosk in a box Deployment,0.8571428571428571
3470,Expansion Tech Station,0.7777777777777778
3470,Gowanus Tech Station,0.7777777777777778
239,Willoughby St & Fleet St,0.010598418756815704
3020,NYCBS Test,0.010582010582010581
3648,Flushing Ave & Vanderbilt Ave,0.010575793184488837
174,E 25 St & 1 Ave,0.010555037474527683
3635,W 36 St & 9 Ave,0.010493061040279816
511,E 14 St & Avenue B,0.0173302133761679
495,W 47 St & 10 Ave,0.017323318538750427
3080,S 4 St & Rodney St,0.01730814362825628
320,Church St & Leonard St,0.01730694227769111
320,Leonard St & Church St,0.01730694227769111
433,E 13 St & Avenue A,0.016492045013581685
3614,Crescent St & 30 Ave,0.01645021645021645
319,Park Pl & Church St,0.016339992461364493
319,Fulton St & Broadway,0.016339992461364493
513,W 56 St & 10 Ave,0.015288733080144123
317,E 6 St & Avenue B,0.015262380637358085
2021,W 45 St & 8 Ave,0.015230437903804739
434,9 Ave & W 18 St,0.015195076610435647
212,W 16 St & The High Line,0.015173422412790214
3181,Soissons Landing,0.5764705882352941
3040,SSP Tech Workshop,0.4827586206896552
3040,GOW Tech Shop,0.4827586206896552
3182,Yankee Ferry Terminal,0.47249417249417247
539,Metropolitan Ave & Bedford Ave,0.03344868409070212
3066,Tompkins Ave & Hopkins St,0.033359043578866175
3016,Mobile 01,0.03324386614931295
3016,Kent Ave & N 7 St,0.03324386614931295
528,2 Ave & E 31 St,0.013851137879502122
476,E 31 St & 3 Ave,0.013828422287775938
500,Broadway & W 51 St,0.013823249835995342
3234,E 40 St & Madison Ave,0.013822894168466522
3254,Soissons Landing,0.41893412777226086
3245,NYCBS DEPOT - DELANCEY,0.3572567783094099
3245,Kiosk in a box Motivate,0.3572567783094099
3245,"Industry City, Building 1 Basement",0.3572567783094099
266,Avenue D & E 8 St,0.02900802900802901
501,FDR Drive & E 35 St,0.028974849242535666
3610,Vernon Blvd & 30 Rd,0.028953229398663696
395,Bond St & Schermerhorn St,0.02893290029506039
3347,Van Brunt St & Wolcott St,0.02891418025223008
3115,India St & Manhattan Ave,0.02786599733633849
3383,Cathedral Pkwy & Broadway,0.027865074376702284
3083,Bushwick Ave & Powers St,0.027766157707592554
3418,Plaza St West & Flatbush Ave,0.02775953892171883
3497,Pleasant Ave & E 116 St,0.023565891472868215
3317,10 St & 5 Ave,0.023558187435633367
464,E 56 St & 3 Ave,0.023470024979184014
3177,W 84 St & Broadway,0.02343126232259536
290,2 Ave & E 58 St,0.021018428405487708
3332,Degraw St & Hoyt St,0.020919005900232435
3417,Baltic St & 5 Ave,0.020902676075089867
3229,Marcy Ave & MacDonough St,0.02074235807860262
173,Broadway & W 49 St,0.0199801275556404
445,E 10 St & Avenue A,0.01997155360055984
3107,Bedford Ave & Nassau Ave,0.019966216857408566
3410,Dean St & Hoyt St,0.01991465149359886
3138,E 77 St & Park Ave,0.01917360285374554
3355,E 66 St & Madison Ave,0.01916058394160584
3407,Union St & Nevins St,0.019086122602482138
3092,Berry St & N 8 St,0.019079263578041083
515,W 43 St & 10 Ave,0.017449592704300947
3581,Underhill Ave & Lincoln Pl,0.01740211311373524
3151,E 81 St & York Ave,0.0173475963397345
242,Flushing Ave & Carlton Ave,0.017341331854615113
242,Carlton Ave & Flushing Ave,0.017341331854615113
459,W 20 St & 11 Ave,0.017105899978729373
3019,NYCBS Depot - DEL,0.017094017094017096
243,Fulton St & Rockwell Pl,0.017054362103300708
375,Mercer St & Bleecker St,0.017029195269208503
375,Mercer St & Bleecker St S,0.017029195269208503
3257,Adventures NYC,0.23481781376518218
2006,Central Park S & 6 Ave,0.21010317812052465
255,NYCBS Depot - SSP,0.20779976717112922
3253,Bike The Branches - Central Branch,0.18831168831168832
3342,Pioneer St & Richards St,0.17736907730673318
3118,McGuinness Blvd & Eagle St,0.01702210917628644
456,E 53 St & Madison Ave,0.016995683174079644
453,W 22 St & 8 Ave,0.016985931987383567
3156,E 72 St & York Ave,0.01698110787620721
3180,Brooklyn Bridge Park - Pier 2,0.1765921765921766
3394,Columbia St & W 9 St,0.16463414634146342
3120,Center BlvdÂ & Borden Ave,0.16203587818105966
3120,Center Blvd & Borden Ave,0.16203587818105966
3485,NYCBS Depot - RIS,0.15384615384615385
3423,West Drive & Prospect Park West,0.15303875513799178
3477,39 St & 2 Ave - Citi Bike HQ at Industry City,0.15205223880597016
431,Hanover Pl & Livingston St,0.13256533700137552
3654,31 St & Northern Blvd,0.13043478260869565
127,Barrow St & Hudson St,0.01696182083398633
3093,N 6 St & Bedford Ave,0.016955175389613684
3595,35 St & Broadway,0.01694915254237288
3057,Kosciuszko St & Tompkins Ave,0.016917767864657856
3414,Bergen St & Flatbush Ave,0.016308479027019557
3384,Smith St & 3 St,0.01630139467487774
482,W 15 St & 7 Ave,0.01627086539599858
368,Carmine St & 6 Ave,0.016228222746319527
366,Clinton Ave & Myrtle Ave,0.01618419612564299
3479,Picnic Point,0.12705061082024433
3532,Ditmars Blvd & 19 St,0.125
398,Atlantic Ave & Furman St,0.12470565773563291
3354,3 St & Prospect Park West,0.11773512270758701
3375,3 Ave & E 72 St,0.015651748593788213
3159,W 67 St & Broadway,0.015643863179074447
152,Warren St & Church St,0.015632041178061065
3580,St Johns Pl & Washington Ave,0.015601783060921248
3507,Park Ave & E 124 St,0.011027278003482298
497,E 17 St & Broadway,0.01096575739184814
3155,Lexington Ave & E 63 St,0.010923803101820635
486,Broadway & W 29 St,0.010914490178419297
297,E 15 St & 3 Ave,0.010894832234645567
2005,Railroad Ave & Kay Ave,0.11448900388098318
3333,Columbia St & Lorraine St,0.10943833236826868
3594,Montgomery St & Franklin Ave OLD,0.10606060606060606
281,Grand Army Plaza & Central Park S,0.09477273162602716
3349,Grand Army Plaza & Plaza St West,0.09292333344021547
3636,Expansion Warehouse 333 Johnson Ave,0.09090909090909091
217,Old Fulton St,0.0868930005414849
3432,Bike in Movie Night | Prospect Park Bandshell,0.08282828282828283
3432,NYCBS Depot - GOW,0.08282828282828283
3237,21 St & 41 Ave,0.08022388059701492
3165,Central Park West & W 72 St,0.07601753652632909
3514,Astoria Park S & Shore Blvd,0.07570422535211267
387,Centre St & Chambers St,0.07543220084185208
3330,Henry St & Bay St,0.07512953367875648
3068,Humboldt St & Varet St,0.07206284153005464
3564,21 St & 36 Ave,0.07203389830508475
3137,5 Ave & E 73 St,0.07159864449647786
3478,2 Ave & 36 St - Citi Bike HQ at Industry City,0.07076528978546269
3127,9 St & 44 Rd,0.07043090638930163
3498,Pleasant Ave & E 120 St,0.07006369426751592
3169,Riverside Dr & W 82 St,0.06990108130634089
3524,19 St & 24 Ave,0.06927710843373494
3340,Wolcott St & Dwight St,0.06719367588932806
3554,Vernon Blvd & 41 Rd,0.06170212765957447
3596,Sullivan Pl & Bedford Ave,0.061224489795918366
3136,5 Ave & E 63 St,0.05993247045582442
3042,Fulton St & Utica Ave,0.0597843841881738
3143,5 Ave & E 78 St,0.05899839127089599
3601,Sterling St & Bedford Ave,0.05867970660146699
332,Cherry St,0.05773994984421309
3337,Dwight St & Van Dyke St,0.05760709010339734
3525,23 Ave & 27 St,0.0576036866359447
3352,Sigourney St & Columbia St,0.05745814307458143
3302,Columbus Ave & W 103 St,0.0573935295192835
3160,Central Park West & W 76 St,0.056870615005372605
3599,Franklin Ave & Empire Blvd,0.05599425699928212
3168,Central Park West & W 85 St,0.055986898688690695
3291,Riverside Dr & W 91 St,0.05525550477773162
3492,E 118 St & Park Ave,0.055
3617,28 Ave & 35 St,0.0546448087431694
3530,Crescent St & Ditmars Blvd,0.05373134328358209
3565,36 Ave & 10 St,0.05327868852459016
3122,48 Ave & 5 St,0.05243103185490017
3163,Central Park West & W 68 St,0.052338437888015135
3618,27 St & Hunter St,0.052256532066508314
339,Avenue D & E 12 St,0.05217736898881508
3404,7 St & 5 Ave,0.05178093473337451
3540,Morningside Ave & W 123 St,0.05134680134680135
443,Bedford Ave & S 9 St,0.050810947795235685
443,Bedford Ave & S 9th St,0.050810947795235685
3282,5 Ave & E 88 St,0.05029653658376749
3619,Newtown Ave & 23 St,0.05014749262536873
3607,31 Ave & 14 St,0.05011389521640091
409,DeKalb Ave & Skillman St,0.04961848702855897
3130,21 St & Queens Plaza North,0.049541642285937194
383,Greenwich Ave & Charles St,0.04953936568581059
514,12 Ave & W 40 St,0.04938401067449656
3550,Convent Ave & W 129 St,0.04878048780487805
3047,Halsey St & Tompkins Ave,0.04808555800473508
3445,Riverside Dr & W 89 St,0.04806170886075949
3178,Riverside Dr & W 78 St,0.046934525321278
3221,47 Ave & 31 St,0.046903342834931326
3044,Albany Ave & Fulton St,0.04632489190858555
3043,Lewis Ave & Decatur St,0.04629052369077307
3351,E 102 St & 1 Ave,0.046098721856783785
3166,Riverside Dr & W 72 St,0.045938131861902154
3166,Riverside Dr & W 72 St,0.045938131861902154
3292,5 Ave & E 93 St,0.045292329382737806
3437,Riverside Dr & W 91 St,0.042183163737280295
3048,Putnam Ave & Nostrand Ave,0.04217432052483599
2009,Catherine St & Monroe St,0.041902338510046884
3515,24 Ave & 26 St,0.04185351270553064
340,Madison St & Clinton St,0.041740598706427795
3287,W 87 St & West End Ave,0.04172560113154172
3344,Pioneer St & Van Brunt St,0.04147407870081199
321,Cadman Plaza E & Red Cross Pl,0.0413975000955621
3557,40 Ave & 9 St,0.0410958904109589
3133,E 67 St & Lexington Ave,0.041075429424943986
3133,E 67 St & Park Ave,0.041075429424943986
3570,35 Ave & 37 St,0.040354330708661415
3129,Queens Plaza North & Crescent St,0.03995062282572102
3495,E 114 St & 1 Ave,0.039779005524861875
532,S 5 Pl & S 4 St,0.039617969579059074
532,S 5 Pl & S 5 St,0.039617969579059074
406,Hicks St & Montague St,0.03949255872332796
3326,Clinton St & Centre St,0.03936348408710218
144,Nassau St & Navy St,0.03920576211796768
342,Columbia St & Rivington St,0.039147972151618964
3449,Eckford St & Engert Ave,0.039116428900138056
436,Hancock St & Bedford Ave,0.039105863356544555
3124,46 Ave & 5 St,0.039000528820729775
3295,Central Park W & W 96 St,0.03894705204628563
279,Sands St & Gold St,0.03878516485500704
279,Peck Slip & Front St,0.03878516485500704
279,Peck Slip & Front Street,0.03878516485500704
3058,Lewis Ave & Kosciuszko St,0.03878275895171354
3072,Leonard St & Boerum St,0.038773574965757035
363,West Thames St,0.038543357614613305
3512,27 Ave & 4 St,0.038461538461538464
3523,24 Ave & 29 St,0.038394415357766144
2008,Little West St & 1 Pl,0.03830599382636498
3327,3 Ave & E 100 St,0.03805874840357599
373,Willoughby Ave & Walworth St,0.03799087536775679
331,Pike St & Monroe St,0.03798454983198808
3065,Union Ave & Wallabout St,0.03758319196137283
3173,Riverside Blvd & W 67 St,0.03756578947368421
3521,Lenox Ave & W 111 St,0.037549407114624504
3363,E 102 St & Park Ave,0.03747690683557667
3226,W 82 St & Central Park West,0.037178469525668806
3513,21 St & Hoyt Ave S,0.03711790393013101
276,Duane St & Greenwich St,0.03710495092223061
3531,Frederick Douglass Blvd & W 129 St,0.03700277520814061
2002,Wythe Ave & Metropolitan Ave,0.03698788393786341
282,Kent Ave & S 11 St,0.03686984190116337
3568,34 St & 35 Ave,0.03686327077747989
426,West St & Chambers St,0.03678706519320626
467,Dean St & 4 Ave,0.03658553851817242
224,Spruce St & Nassau St,0.036050371070198775
3096,Union Ave & N 12 St,0.03579741026061301
3597,43 St & Broadway,0.035752979414951244
3063,Nostrand Ave & Myrtle Ave,0.0355247641509434
3592,Crescent St & Broadway,0.035498489425981876
3541,Amsterdam Ave & W 125 St,0.03536977491961415
2022,E 59 St & Sutton Pl,0.03523018004417677
2022,E 60 St & York Ave,0.03523018004417677
3535,Mt Morris Park W & W 120 St,0.03502747252747253
